"contaminant_name","health_effects_language"
"Chloramines (ppm)","Some people who use water containing chloramines well in excess of the MRDL could experience irritating effects to their eyes and nose. Some people who drink water containing chloramines well in excess of the MRDL could experience stomach discomfort or anemia."
"Chlorine (ppm)","Some people who use water containing chlorine well in excess of the MRDL could experience irritating effects to their eyes and nose. Some people who drink water containing chlorine well in excess of the MRDL could experience stomach discomfort."
"Chlorine Dioxide (ppb)","Some infants and young children who drink water containing chlorine dioxide in excess of the MRDL could experience nervous system effects. Similar effects may occur in fetuses of pregnant women who drink water containing chlorine dioxide in excess of the MRDL. Some people may experience anemia."
"Chlorite (ppm)","Some infants and young children who drink water containing chlorite in excess of the MRDL could experience nervous system effects. Similar effects may occur in fetuses of pregnant women who drink water containing chlorite in excess of the MCL. Some people may experience anemia."
"Chromium (ppb)","Some people who use water containing chromium well in excess of the MCL over many years could experience allergic dermatitis."
"Copper (ppm)","Copper is an essential nutrient, but some people who drink water containing copper in excess of the action level over a relatively short amount of time could experience gastrointestinal distress. Some people who drink water containing copper in excess of the action level over many years could suffer liver or kidney damage. People with Wilson's Disease should consult their personal doctor."
"Cyanide (ppb)","Some people who drink water containing cyanide well in excess of the MCL over many years could experience nerve damage or problems with their thyroid."
"Fluoride (ppm)","Some people who drink water containing fluoride in excess of the MCL over many years could get bone disease, including pain and tenderness of the bones. Fluoride in drinking water at half the MCL or more may cause mottling of children's teeth, usually in children less than nine years old. Mottling also known as dental fluorosis, may include brown staining and/or pitting of the teeth, and occurs only in developing teeth before they erupt from the gums."
"Lead (ppb)","Infants and children who drink water containing lead in excess of the action level could experience delays in their physical or mental development. Children could show slight deficits in attention span and learning abilities. Adults who drink this water over many years could develop kidney problems or high blood pressure."
"Mercury [inorganic] (ppb)","Some people who drink water containing inorganic mercury well in excess of the MCL over many years could experience kidney damage."
"Nitrate (ppm)","Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue baby syndrome."
"Nitrite (ppm)","Infants below the age of six months who drink water containing nitrite in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue baby syndrome."
"Selenium (ppb)","Selenium is an essential nutrient. However, some people who drink water containing selenium in excess of the MCL over many years could experience hair or fingernail losses, numbness in fingers or toes, or problems with their circulation."
"Thallium (ppb)","Some people who drink water containing thallium in excess of the MCL over many years could experience hair loss, changes in their blood, or problems with their kidneys, intestines, or liver."
"2,4-D (ppb)","Some people who drink water containing the weed killer 2,4-D well in excess of the MCL over many years could experience problems with their kidneys, liver, or adrenal glands."
"2,4,5-TP [Silvex](ppb)","Some people who drink water containing silvex in excess of the MCL over many years could experience liver problems."
"Acrylamide","Some people who drink water containing high levels of acrylamide over a long period of time could have problems with their nervous system or blood, and may have an increased risk of getting cancer."
"Alachlor (ppb)","Some people who drink water containing alachlor in excess of the MCL over many years could have problems with their eyes, liver, kidneys, or spleen, or experience anemia, and may have an increased risk of getting cancer."
"Atrazine (ppb)","Some people who drink water containing atrazine well in excess of the MCL over many years could experience problems with their cardiovascular system or reproductive difficulties."
"Benzo(a)pyrene [PAH] (nanograms/L)","Some people who drink water containing benzo(a)pyrene in excess of the MCL over many years may experience reproductive difficulties and may have an increased risk of getting cancer."
"Carbofuran (ppb)","Some people who drink water containing carbofuran in excess of the MCL over many years could experience problems with their blood, or nervous or reproductive systems."
"Chlordane (ppb)","Some people who drink water containing chlordane in excess of the MCL over many years could experience problems with their liver or nervous system, and may have an increased risk of getting cancer."
"Dalapon (ppb)","Some people who drink water containing dalapon well in excess of the MCL over many years could experience minor kidney changes."
"Di(2-ethylhexyl) adipate (ppb)","Some people who drink water containing di (2ethylhexyl) adipate well in excess of the MCL over many years could experience toxic effects such as weight loss, liver enlargement or possible reproductive difficulties."
"Di(2-ethylhexyl) phthalate (ppb)","Some people who drink water containing di (2ethylhexyl) phthalate in excess of the MCL over many years may have problems with their liver, or experience reproductive difficulties, and may have an increased risk of getting cancer."
"Dibromochloropropane (ppt)","Some people who drink water containing DBCP in excess of the MCL over many years could experience reproductive problems and may have an increased risk of getting cancer."
"Dinoseb (ppb)","Some people who drink water containing dinoseb well in excess of the MCL over many years could experience reproductive difficulties."
"Diquat (ppb)","Some people who drink water containing diquat in excess of the MCL over many years could get cataracts."
"Dioxin [2,3,7,8-TCDD] (ppq)","Some people who drink water containing dioxin in excess of the MCL over many years could experience reproductive difficulties and may have an increased risk of getting cancer."
"Endothall (ppb)","Some people who drink water containing endothall in excess of the MCL over many years could experience problems with their stomach or intestines."
"Endrin (ppb)","Some people who drink water containing endrin in excess of the MCL over many years could experience liver problems."
"Epichlorohydrin","Some people who drink water containing high levels of epichlorohydrin over a long period of time could experience stomach problems, and may have an increased risk of getting cancer."
"Ethylene dibromide (ppt)","Some people who drink water containing ethylene dibromide in excess of the MCL over many years could experience problems with their liver, stomach, reproductive system, or kidneys, and may have an increased risk of getting cancer."
"Glyphosate (ppb)","Some people who drink water containing glyphosate in excess of the MCL over many years could experience problems with their kidneys or reproductive difficulties."
"Heptachlor (ppt)","Some people who drink water containing heptachlor in excess of the MCL over many years could experience liver damage and may have an increased risk of getting cancer."
"Heptachlor epoxide (ppt)","Some people who drink water containing heptachlor epoxide in excess of the MCL over many years could experience liver damage, and may have an increased risk of getting cancer."
"Hexachlorobenzene (ppb)","Some people who drink water containing hexachlorobenzene in excess of the MCL over many years could experience problems with their liver or kidneys, or adverse reproductive effects, and may have an increased risk of getting cancer."
"Hexachlorocyclopentadiene (ppb)","Some people who drink water containing hexachlorocyclopentadiene well in excess of the MCL over many years could experience problems with their kidneys or stomach."
"Lindane (ppt)","Some people who drink water containing lindane in excess of the MCL over many years could experience problems with their kidneys or liver."
"Methoxychlor (ppb)","Some people who drink water containing methoxychlor in excess of the MCL over many years could experience reproductive difficulties."
"Oxamyl [Vydate] (ppb)","Some people who drink water containing oxamyl in excess of the MCL over many years could experience slight nervous system effects."
"PCBs [Polychlorinated biphenyls] (ppt)","Some people who drink water containing PCBs in excess of the MCL over many years could experience changes in their skin, problems with their thymus gland, immune deficiencies, or reproductive or nervous system difficulties, and may have an increased risk of getting cancer."
"Pentachlorophenol (ppb)","Some people who drink water containing pentachlorophenol in excess of the MCL over many years could experience problems with their liver or kidneys, and may have an increased risk of getting cancer."
"Picloram (ppb)","Some people who drink water containing picloram in excess of the MCL over many years could experience problems with their liver."
"Simazine (ppb)","Some people who drink water containing simazine in excess of the MCL over many years could experience problems with their blood."
"Toxaphene (ppb)","Some people who drink water containing toxaphene in excess of the MCL over many years could have problems with their kidneys, liver, or thyroid, and may have an increased risk of getting cancer."
"Benzene (ppb)","Some people who drink water containing benzene in excess of the MCL over many years could experience anemia or a decrease in blood platelets, and may have an increased risk of getting cancer."
"Carbon tetrachloride (ppb)","Some people who drink water containing carbon tetrachloride in excess of the MCL over many years could experience problems with their liver and may have an increased risk of getting cancer."
"Chlorobenzene (ppb)","Some people who drink water containing chlorobenzene in excess of the MCL over many years could experience problems with their liver or kidneys."
"o-Dichlorobenzene (ppb)","Some people who drink water containing o-dichlorobenzene well in excess of the MCL over many years could experience problems with their liver, kidneys, or circulatory systems."
"p-Dichlorobenzene (ppb)","Some people who drink water containing p-dichlorobenzene in excess of the MCL over many years could experience anemia, damage to their liver, kidneys, or spleen, or changes in their blood."
"1,2-Dichloroethane (ppb)","Some people who drink water containing 1,2-dichloroethane in excess of the MCL over many years may have an increased risk of getting cancer."
"1,1-Dichloroethylene (ppb)","Some people who drink water containing 1,1-dichloroethylene in excess of the MCL over many years could experience problems with their liver."
"cis-1,2-Dichloroethylene (ppb)","Some people who drink water containing cis-1,2dichloroethylene in excess of the MCL over many years could experience problems with their liver."
"trans-1,2-Dichloroethylene (ppb)","Some people who drink water containing trans-1,2dichloroethylene well in excess of the MCL over many years could experience problems with their liver."
"Dichloromethane (ppb)","Some people who drink water containing dichloromethane in excess of the MCL over many years could have liver problems and may have an increased risk of getting cancer."
"1,2-Dichloropropane (ppb)","Some people who drink water containing 1,2dichloropropane in excess of the MCL over many years may have an increased risk of getting cancer."
"Ethylbenzene (ppb)","Some people who drink water containing ethylbenzene well in excess of the MCL over many years could experience problems with their liver or kidneys."
"Haloacetic Acids (HAA) (ppb)","Some people who drink water containing haloacetic acids in excess of the MCL over many years may have an increased risk of getting cancer."
"Styrene (ppb)","Some people who drink water containing styrene well in excess of the MCL over many years could have problems with their liver, kidneys, or circulatory system."
"Tetrachloroethylene (ppb)","Some people who drink water containing tetrachloroethylene in excess of the MCL over many years could have problems with their liver, and may have an increased risk of getting cancer."
"1,2,4-Trichlorobenzene (ppb)","Some people who drink water containing 1,2,4trichlorobenzene well in excess of the MCL over many years could experience changes in their adrenal glands."
"1,1,1-Trichloroethane (ppb)","Some people who drink water containing 1,1,1trichloroethane in excess of the MCL over many years could experience problems with their liver, nervous system, or circulatory system."
"1,1,2-Trichloroethane (ppb)","Some people who drink water containing 1,1,2trichloroethane well in excess of the MCL over many years could have problems with their liver, kidneys, or immune systems."
"Trichloroethylene (ppb)","Some people who drink water containing trichloroethylene in excess of the MCL over many years could experience problems with their liver and may have an increased risk of getting cancer."
"TTHMs [Total trihalomethanes] (ppb)","Some people who drink water containing trihalomethanes in excess of the MCL over many years may experience problems with their liver, kidneys, or central nervous systems, and may have an increased risk of getting cancer."
"Toluene (ppm)","Some people who drink water containing toluene well in excess of the MCL over many years could have problems with their nervous system, kidneys, or liver."
"Vinyl Chloride (ppb)","Some people who drink water containing vinyl chloride in excess of the MCL over many years may have an increased risk of getting cancer."
"Xylenes (ppm)","Some people who drink water containing xylenes in excess of the MCL over many years could experience damage to their nervous system." 
